emotion
Happy
Sad
Angry
Surprised
Scared
Loved
Excited
Grateful
Calm
Joyful
Disgusted
Confused
Hopeful
Amazed
Guilty
Shameful
Satisfied
Prideful
Embarrased
Lonely
Trusted
Nostalgic
Jealous
Enthusiasted
Bored
Compassional
Anxious
Resentful
Frustrated
Lustful
Regretful
Curios
Pitiful
Desiring
Sorrowful
Optimist
Disappointed
Fulfilled
Panicked
Satisfied
Caring
Affectionate
Insecure
Fascinated
Amused
Hated
Hateful
Adored
Melancholic
